FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,75917,26:35.5,,,2200,-72.79,-95.25,-13.62,7.42,237
10000000,75918,26:36.0,,,2200,-76.79,-96.62,-9.95,6.53,237
10000000,75919,26:36.5,,,2200,-81.74,-96.72,-11.42,6.99,237
10000000,75920,26:37.0,,,2200,-71.64,-93.85,-13.32,8.33,237
10000000,75921,26:37.5,,,2200,-70.58,-96.25,-13.84,6.93,237
10000000,75922,26:38.0,,,2200,-74.38,-99,-12.27,6.73,237
10000000,75923,26:38.5,,,2200,-74.58,-99.23,-14.04,1.63,237
10000000,75924,26:39.0,,,2200,-76.19,-96.44,-12.75,4.62,237
10000000,75925,26:39.5,,,2200,-77.98,-94.31,-10.18,8.14,242
10000000,75926,26:40.0,,,2200,-85.79,-101.37,-12.27,1.77,242
10000000,75927,26:40.5,,,2200,-74.42,-97.51,-11.12,7.15,237
10000000,75928,26:41.0,,,2200,-75.51,-94.81,-12.66,4.04,237
10000000,75929,26:41.5,,,2200,-76.94,-100.76,-12.96,2.01,237
10000000,75930,26:42.0,,,2200,-74.15,-98.46,-13.87,3.15,237
10000000,75931,26:42.5,,,2200,-71,-94.61,-15.14,0.15,242
10000000,75932,26:43.0,,,2200,-79.18,-99.82,-11.24,2.84,242
10000000,75933,26:43.5,,,2200,-78.58,-96.74,-9.46,6.9,242
10000000,75934,26:44.0,,,2200,-76.03,-100.53,-16.92,3.46,242
10000000,75935,26:44.5,,,2200,-73.23,-97.89,-13.32,2.58,242
10000000,75936,26:45.0,,,2200,-71.49,-95.72,-15.26,1.59,237
10000000,75937,26:45.5,,,2200,-70.4,-94.58,-13.36,1.79,242
10000000,75938,26:46.0,,,2200,-73.42,-95.69,-12.89,1.75,242
10000000,75939,26:46.5,,,2200,-76.33,-94.97,-11.72,3.33,242
10000000,75940,26:47.0,,,2200,-72.76,-95.62,-11.61,2.96,242
10000000,75941,26:47.5,,,2200,-73.92,-94.62,-11.85,4.05,242
10000000,75942,26:48.0,,,2200,-72.03,-94.71,-12.75,2.89,242
10000000,75943,26:48.5,,,2200,-73.02,-95.17,-12.85,2.24,242
10000000,75944,26:49.0,,,2200,-74,-96.45,-12.22,2.36,242
10000000,75945,26:49.5,,,2200,-74.53,-100.62,-14.25,-0.78,237
10000000,75946,26:50.0,,,2200,-73.55,-99.51,-15.32,-0.84,242
10000000,75947,26:50.5,,,2200,-73.46,-95.67,-11.12,5.85,237
10000000,75948,26:51.0,,,2200,-68.61,-91.81,-15.21,8.53,237
10000000,75949,26:51.5,,,2200,-66.26,-90.03,-12.98,6.35,237
10000000,75950,26:52.0,,,2200,-75.23,-93.68,-11.07,9.76,242
10000000,75951,26:52.5,,,2200,-66.73,-89.26,-13.18,3.29,237
10000000,75952,26:53.0,,,2200,-70.89,-93,-11.18,3.74,237
10000000,75953,26:53.5,,,2200,-75.56,-93.49,-11.27,6.02,237
10000000,75954,26:54.0,,,2200,-76.73,-96.72,-11.95,5.62,242
10000000,75955,26:54.5,,,2200,-71.07,-92.49,-12.46,11.82,237
10000000,75956,26:55.0,,,2200,-74.21,-96.6,-12.58,10.65,242
10000000,75957,26:55.5,,,2200,-75.15,-95.7,-10.77,10.52,242
10000000,75958,26:56.0,,,2200,-76.61,-96.69,-12.07,8.03,242
10000000,75959,26:56.5,,,2200,-75.4,-98.75,-12.16,4.92,242
10000000,75960,26:57.0,,,2200,-78.61,-99.87,-10.3,3.98,242
10000000,75961,26:57.5,,,2200,-75.37,-100.74,-14.71,3.8,242
10000000,75962,26:58.0,,,2200,-76.47,-97.17,-11.57,5.93,242
10000000,75963,26:58.5,,,2200,-74.57,-95.44,-11.9,4.62,242
10000000,75964,26:59.0,,,2200,-75.43,-97.26,-12.89,0.78,242
10000000,75965,26:59.5,,,2200,-83.76,-99.09,-9.37,3.4,242
10000000,75966,27:00.0,,,2200,-79.89,-100.38,-13,3.95,242
10000000,75967,27:00.5,,,2200,-75.68,-95.15,-11.2,4.38,242
10000000,75968,27:01.0,,,2200,-74.53,-94.68,-11.47,2.21,237
10000000,75969,27:01.5,,,2200,-70.02,-91.37,-12.04,4.16,237
10000000,75970,27:02.0,,,2200,-79.52,-92.18,-11.06,5.22,237
10000000,75971,27:02.5,,,2200,-74.05,-96.08,-12.89,3.46,237
10000000,75972,27:03.0,,,2200,-77.41,-96.61,-11.57,6.58,237
10000000,75973,27:03.5,,,2200,-77.53,-93.85,-11.33,6.34,237
10000000,75974,27:04.0,,,2200,-77.25,-89.08,-9.52,17.79,237
10000000,75975,27:04.5,,,2200,-68.19,-90.34,-9.94,14.76,237
10000000,75976,27:05.0,,,2200,-72.39,-92.02,-10.72,10.59,237
10000000,75977,27:05.5,,,2200,-76.81,-93.73,-11.33,8.7,237
10000000,75978,27:06.0,,,2200,-75.85,-90.09,-8.35,10.93,237
10000000,75979,27:06.5,,,2200,-75.53,-92.14,-11,5.23,237
10000000,75980,27:07.0,,,2200,-77.45,-94.13,-9.74,4.35,237
10000000,75981,27:07.5,,,2200,-69.07,-91.64,-13.5,6.38,237
10000000,75982,27:08.0,,,2200,-67.8,-91.72,-13.85,6.68,237
10000000,75983,27:08.5,,,2200,-65.04,-91.35,-14.84,-0.14,237
10000000,75984,27:09.0,,,2200,-76.88,-92.03,-9.12,7.43,237
