FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,77253,26:34.8,,,66686,-78.99,-106.87,-18.96,-5.44,242
10000000,77254,26:35.3,,,66686,-81.57,-103.81,-13.32,-1.43,237
10000000,77255,26:35.8,,,66686,-78.56,-99.05,-12.37,5.09,237
10000000,77256,26:36.3,,,66686,-73.32,-96.34,-14.16,4.58,237
10000000,77257,26:36.8,,,66686,-78.52,-97.82,-12.35,7.35,237
10000000,77258,26:37.3,,,66686,-75.74,-94.98,-12.73,10.29,237
10000000,77259,26:37.7,,,66686,-73.32,-99.41,-16.29,4.18,237
10000000,77260,26:38.2,,,66686,-80.21,-104.38,-12.62,2.62,237
10000000,77261,26:38.8,,,66686,-76.6,-97.51,-11.77,7.37,242
10000000,77262,26:39.3,,,66686,-75.99,-99.41,-13.92,3.82,237
10000000,77263,26:39.8,,,66686,-77.18,-99,-12.3,4.91,237
10000000,77264,26:40.2,,,66686,-83.58,-96.98,-10.61,5.45,242
10000000,77265,26:40.7,,,66686,-78.52,-95.28,-11.58,10.87,237
10000000,77266,26:41.2,,,66686,-72.01,-93.87,-12.44,8.19,237
10000000,77267,26:41.8,,,66686,-73.86,-101.09,-16.51,-0.71,242
10000000,77268,26:42.3,,,66686,-80.3,-101.69,-13.83,0.7,237
10000000,77269,26:42.7,,,66686,-74.47,-97.47,-12.04,4.56,242
10000000,77270,26:43.2,,,66686,-75.06,-101.37,-15.25,-2.01,237
10000000,77271,26:43.7,,,66686,-76.18,-97.72,-11.06,5.8,242
10000000,77272,26:44.3,,,66686,-71.91,-88.44,-10.3,12.25,242
10000000,77273,26:44.8,,,66686,-74.05,-90.18,-9.15,10.12,242
10000000,77274,26:45.2,,,66686,-73.63,-93.54,-11.6,3.39,242
10000000,77275,26:45.7,,,66686,-71.84,-95.73,-13.89,2.61,242
10000000,77276,26:46.3,,,66686,-74.44,-95.42,-11.39,2.94,242
10000000,77277,26:46.8,,,66686,-72.25,-95.24,-12.49,1.63,242
10000000,77278,26:47.3,,,66686,-70.02,-95.12,-14.72,2.69,242
10000000,77279,26:47.7,,,66686,-72.57,-94.51,-12.13,3.61,242
10000000,77280,26:48.2,,,66686,-75.02,-95.53,-11.9,2.91,242
10000000,77281,26:48.8,,,66686,-79.04,-95.56,-11.96,2.71,242
10000000,77282,26:49.3,,,66686,-76.56,-98.86,-15.72,-0.34,242
10000000,77283,26:49.8,,,66686,-76.15,-101.25,-14.21,0.23,242
10000000,77284,26:50.2,,,66686,-73.74,-99.6,-15.36,-1.21,237
10000000,77285,26:50.7,,,66686,-70.94,-92.65,-13.69,6.03,242
10000000,77286,26:51.3,,,66686,-71.04,-97.14,-16.43,0.26,237
10000000,77287,26:51.8,,,66686,-72.06,-93.58,-13.14,6.22,237
10000000,77288,26:52.3,,,66686,-75.23,-93,-12.45,4.94,237
10000000,77289,26:52.7,,,66686,-70.58,-92.31,-13.93,4.48,237
10000000,77290,26:53.2,,,66686,-74.99,-97.69,-13.86,1.9,237
10000000,77291,26:53.8,,,66686,-75.46,-96.6,-13.18,7.82,237
10000000,77292,26:54.3,,,66686,-74.65,-96.8,-12.53,5.41,242
10000000,77293,26:54.8,,,66686,-76.03,-98.24,-13.53,3.79,242
10000000,77294,26:55.2,,,66686,-74.82,-95.72,-12.06,8.6,242
10000000,77295,26:55.7,,,66686,-71.94,-95.03,-12.83,11.25,242
10000000,77296,26:56.3,,,66686,-77.09,-99.01,-11.66,6.41,242
10000000,77297,26:56.8,,,66686,-75.77,-99.04,-14.34,7.39,242
10000000,77298,26:57.3,,,66686,-80.77,-99.95,-11.63,2.65,242
10000000,77299,26:57.7,,,66686,-80.95,-97.62,-9.35,5.66,242
10000000,77300,26:58.2,,,66686,-82.4,-99.25,-11.59,3.97,242
10000000,77301,26:58.8,,,66686,-72.41,-96.52,-15.48,1.37,242
10000000,77302,26:59.3,,,66686,-76.74,-101.57,-13.36,0.9,242
10000000,77303,26:59.8,,,66686,-75.64,-98.75,-12.78,5.37,237
10000000,77304,27:00.2,,,66686,-79.47,-101.67,-15.01,-2.56,237
10000000,77305,27:00.7,,,66686,-70.11,-93,-12.51,2.73,237
10000000,77306,27:01.3,,,66686,-86.74,-99.83,-12,3.41,242
10000000,77307,27:01.8,,,66686,-78.83,-95.8,-10.77,3.85,237
10000000,77308,27:02.2,,,66686,-78.45,-99.94,-12.44,6,237
10000000,77309,27:02.7,,,66686,-68.37,-88.43,-10.44,13.95,237
10000000,77310,27:03.2,,,66686,-77.89,-92.45,-8.62,10.91,237
10000000,77311,27:03.8,,,66686,-74.21,-95.82,-11.13,5.26,237
10000000,77312,27:04.3,,,66686,-76.18,-101.94,-15.05,0.79,237
10000000,77313,27:04.7,,,66686,-77.04,-95.73,-9.23,5.44,237
10000000,77314,27:05.2,,,66686,-72.76,-91.56,-13.15,12.86,237
10000000,77315,27:05.7,,,66686,-71.7,-94.07,-10.66,4.95,237
10000000,77316,27:06.3,,,66686,-73.72,-86.66,-8.93,14.22,237
10000000,77317,27:06.8,,,66686,-73.55,-92.37,-12.21,10.54,237
10000000,77318,27:07.2,,,66686,-69.76,-91.13,-12.66,8.55,237
10000000,77319,27:07.7,,,66686,-68.87,-89.16,-12.08,11.06,237
10000000,77320,27:08.3,,,66686,-69.07,-92.42,-14.96,8.27,237
10000000,77321,27:08.8,,,66686,-73.34,-95.91,-13.01,1.39,242
10000000,77322,27:09.2,,,66686,-73.61,-89.55,-9.22,8.13,237
10000000,77323,27:09.7,,,66686,-68.91,-92.55,-11.88,8.64,237
10000000,77324,27:10.2,,,66686,-80.07,-101.43,-12.45,0.29,242
10000000,77325,27:10.8,,,66686,-73.65,-96.01,-10.53,3.12,237
10000000,77326,27:11.3,,,66686,-83.59,-98.12,-10.26,9.77,237
10000000,77327,27:11.7,,,66686,-76.03,-98.62,-13.41,5.74,237
10000000,77328,27:12.2,,,66686,-72.35,-96.66,-14.31,12.37,237
10000000,77329,27:12.7,,,66686,-80.53,-102.9,-12.71,-0.27,237
10000000,77330,27:13.3,,,66686,-81.77,-106.44,-16.4,3.05,237
10000000,77331,27:13.8,,,66686,-81.28,-99.68,-11.49,9.61,237
10000000,77332,27:14.2,,,66686,-83.82,-101.03,-9.59,7.12,237
10000000,77333,27:14.7,,,66686,-77.98,-100.56,-12.27,4.47,242
